Codigo,Nome,Preco
4BO7QW,Pera Melao,134.13
WO3PLK,Kiwi Abacaxi,184.84
QD1XPQ,Banana Maca,622.96
IABYJP,Melao Maca,858.52
LSAOW6,Morango Uva,538.4
A8C3VS,Banana Banana,229.88
145QJ1,Laranja Kiwi,295.78
KG7W53,Maca Abacaxi,686.52
479MQ9,Melao Abacaxi,578.68
VMVMV6,Abacaxi Abacaxi,402.7
1VTX6V,Abacaxi Melancia,321.75
B1N2EZ,Morango Melao,533.31
7UFNT6,Banana Maca,286.41
1ZGLE7,Uva Melao,733.96
L5OELJ,Maca Banana,766.39
KIG7RZ,Kiwi Morango,825.02
YJ1Y0D,Melancia Laranja,851.76
CR63AH,Laranja Uva,218.82
PY6HJX,Melao Abacaxi,846.84
HZNIN0,Uva Maca,817.34
4CEPJY,Kiwi Kiwi,152.43
DLSAVP,Morango Banana,224.78
4XXCKZ,Uva Melancia,498.53
0K58K0,Banana Laranja,856.76
RIH6ZV,Abacaxi Melao,323.3
5Z5LKQ,Uva Morango,149.8
T06WZ0,Abacaxi Abacaxi,666.75
JUKNN9,Banana Melao,309.47
JF82H6,Laranja Banana,195.71
FM0DWN,Melancia Laranja,969.22
T4GEUW,Pera Laranja,372.67
LTUJ60,Pera Laranja,87.29
7Q1713,Uva Kiwi,627.49
7FG5XI,Uva Pera,342.0
JAXK8U,Pera Laranja,428.62
08TLOW,Morango Melancia,797.06
13PH2J,Kiwi Morango,398.25
PADCT7,Maca Morango,895.82
12Z6AX,Melao Melancia,61.68
365C70,Pera Abacaxi,121.23
186Q3G,Melao Morango,479.69
MLCLD3,Maca Kiwi,804.26
QBQNPH,Banana Banana,74.11
ZN8GY4,Kiwi Pera,879.86
WUOUU6,Melao Laranja,512.91
479RR1,Laranja Abacaxi,636.2
GFKS9C,Uva Morango,371.16
KVLYPM,Melao Morango,848.89
DM1NX6,Uva Uva,999.05
VCH36J,Abacaxi Kiwi,511.02
DCC846,Kiwi Banana,473.2
3C6G9R,Laranja Banana,988.81
5IE0WH,Abacaxi Morango,683.92
1RKIUC,Morango Morango,875.07
B7CIKO,Kiwi Melancia,137.99
XZFB41,Maca Laranja,610.78
1EZVJO,Banana Morango,336.36
SMJD9Z,Banana Uva,362.11
MFQNH8,Uva Melao,425.83
9KCX7A,Abacaxi Melao,403.7
Q2U57B,Melancia Laranja,83.06
A5J0UB,Banana Uva,456.87
5PI715,Uva Kiwi,453.49
FB9PLJ,Pera Uva,435.78
OAFLA2,Pera Pera,781.16
3L9Z03,Laranja Melao,599.74
LQVI5A,Morango Melancia,254.97
YU98Q6,Banana Laranja,437.32
